["教育程度", "type"]	["哪种类型是entity的毕业学校？"]
["primeminister", "office"]	["entity的首相的职务是什么？"]
["頻道", "satServ"]	["什么是放映entity的频道的母公司？"]
["cityofbirth", "establishedTitle"]	["哪个法律","行为使entity的出生地成立？"]
["director", "genre"]	["entity的导演属于哪种类型？"]
["prev", "office"]	["entity的的职务是什么？"]
["state", "legislature"]	["什么是entity所在的州的立法机关？"]
["before", "parents"]	["谁养育了entity的前任？","谁把entity的前任抚养长大？","谁是entity的前任的父母？"]
["subdivisionName", "timezone1Dst"]	["entity属于哪个时区？"]
["subdivisionName", "subdivisionType"]	["entity的行政级别是什么？"]
["subdivisionName", "blank1NameSec"]	["entity属于什么？"]
["after", "party"]	["entity的属于哪一方？"]
["after", "president"]	["谁是entity的的总裁？"]
["owner", "affiliations"]	["entity的总裁隶属于什么机构？"]
["subdivisionName", "leaderParty"]	["什么是entity的领导方？"]
["areas", "upperHouse"]	["什么是entity的上议院？"]
["before", "president"]	["谁是entity的前任的总裁？"]
["youthclubs", "ground"]	["entity所属青年俱乐部的主场在哪里？"]
["stadium", "leaderParty"]	["什么是举办entity的体育场的领导方？"]
["subdivisionName", "region"]	["entity属于哪个列表？","哪个列表包含entity？"]
["subdivisionName", "capital"]	["entity的首都在哪里？"]
["subdivisionName", "officialLanguages"]	["entity的官方语言是什么？"]
["monarch", "mother"]	["谁是entity的母亲？"]
["before", "successor"]	["谁是entity的前任的继承人？"]
["canonizedBy", "bishop"]	["谁是entity的的主教？"]
["fam", "script"]	["什么是entity的的盲文？"]
["doctoralAdvisor", "influenced"]	["谁影响了entity的博士生导师？"]
["owner", "divisions"]	["哪个唱片公司的entity的总裁拥有？"]
["locationCity", "title"]	["什么是entity的所在地的名字？"]
["battles", "commander"]	["我们应该称之为entity参加的战争的指挥官？"]
["district", "candidate"]	["谁是entity所在的区域的候选人？"]
["相關團體", "genre"]	["entity的相关团体属于哪种类型？"]
["afterElection", "deputy"]	["谁是entity的胜选者的部长？"]
["influenced", "birthPlace"]	["受到entity影响的人出生在哪里？"]
["influenced", "issue"]	["谁是受到entity影响的人的父母？"]
["combatant", "leader"]	["谁是entity的领导者？"]
["branch", "aircraftTransport"]	["什么是entity的的飞机运输？"]
["influenced", "title"]	["什么是受到entity影响的人的名字？"]
["ethnicity", "languages"]	["谁使用entity的区域语言？"]
["state", "establishedTitle"]	["哪个法律","行为使entity所在的州成立？"]
["state", "leaderName"]	["谁是entity所在的州的领导者？"]
["deathPlace", "leaderName"]	["谁是entity逝世的地方的领导者？"]
["state", "postalCodeType"]	["entity所在的州使用什么类型的邮政编码？"]
["writer", "children"]	["entity的作者孩子的名字是什么？"]
["deputy", "spouse"]	["谁是entity的代理人的配偶？"]
["primaryUser", "type"]	["哪种类型是entity的主要用户？"]
["moreUsers", "demonym"]	["我们称之为使用entity的国家的人是谁？"]
["father", "alongside"]	["谁像entity的父亲一样出名？","谁与entity的父亲同样出名？"]
["spouse", "before"]	["谁是entity的配偶的上一任？"]
["after", "religion"]	["entity的的宗教是什么？"]
["combatant", "titleLeader"]	["entity中领导者的头衔是什么？"]
["platform", "manufacturer"]	["什么是entity的运行平台的制造商？","谁制作了entity的运行平台？"]
["before", "children"]	["entity的前任孩子的名字是什么？"]
["動畫製作", "owner"]	["谁是entity的动画的所有者？"]
["title", "ideology"]	["什么是entity的标题的政治意识形态？"]
["title", "leaderTitle"]	["entity的标题在哪里作为leaderTitle？"]
["president", "before"]	["谁是entity效力的总统的上一任？"]
["origin", "event"]	["哪个文件","事件影响了entity的发源地的灭绝并在欧洲结束了第二次世界大战？"]
["locationCountry", "leaderName"]	["谁是entity所在的国家的领导者？"]
["headquarters", "architect"]	["谁是entity的总部地址的建筑师？","谁建立了entity的总部地址？"]
["order", "establishedEvent"]	["什么时候P由entity担任领导的机构创建既定事件？"]
["headquarters", "northwest"]	["哪个地方位于entity的总部地址的西北部？"]
["areaServed", "label"]	["entity的服务区域的标签是什么？"]
["developer", "type"]	["哪种类型是entity的开发商？"]
["studio", "owner"]	["谁是制作entity的工作室的所有者？"]
["after", "leaderName"]	["谁是entity的的领导者？"]
["cities", "p"]	["如何用汉语拼音拼写entity？","entity的中文拼音是什么？"]
["placeOfDeath", "event"]	["哪个文件","事件影响了entity的逝世地址的灭绝并在欧洲结束了第二次世界大战？"]
["主唱", "title"]	["什么是entity的主唱的名字？"]
["subdivisionName", "fish"]	["什么是entity中的州鱼？"]
["champion", "list2."]	["谁是1904年entity的总冠军最好的右手投手？"]
["locationCity", "leaderTitle"]	["entity的所在地在哪里作为leaderTitle？"]
["before", "mother"]	["谁是entity的前任的母亲？"]
["producer", "currentMembers"]	["谁是entity的制片人的现任乐队领队？"]
["cities", "postalCode"]	["什么是entity的邮政编码？"]
["areaServed", "lowerHouse"]	["什么是entity的服务区域的下议院？"]
["fromAlbum", "producer"]	["谁是entity的一CLPM部专辑的制片人？"]
["almaMater", "almaMater"]	["entity的母校从哪里毕业？"]
["influences", "placeOfDeath"]	["entity的人死在哪里？","这是entity的人的死亡地点？"]
["民族", "establishedEvent"]	["什么时候entity所属的民族创建既定事件？"]
["label", "type"]	["哪种类型是entity的标签？"]
["place", "postalCodeType"]	["entity的地址使用什么类型的邮政编码？"]
["演出", "knownFor"]	["什么是出演entity的演员知道的？"]
["現任成員", "label"]	["entity的现任成员的标签是什么？"]
["combatant", "developer"]	["谁开发entity？","谁是entity的开发者？"]
["origin", "house"]	["entity的发源地有什么样的立法机构？"]
["writer", "title"]	["什么是entity的作者的名字？"]
["唱片公司", "keyPeople"]	["谁是entity与entity哪家唱片公司的首席执行官？"]
["namedAfter", "leaderTitle"]	["entity的名字在哪里作为leaderTitle？"]
["语言", "sign"]	["entity所使用的语言使用什么样的语言？"]
["placeOfBirth", "currency"]	["entity的出生地的货币是什么？"]
["製作", "owner"]	["谁是entity的制作方的所有者？"]
["district", "label"]	["entity所在的区域的标签是什么？"]
["location", "currency"]	["entity的位置的货币是什么？"]
["birthPlace", "house"]	["entity的出生地有什么样的立法机构？"]
["after", "issue"]	["谁是entity的的父母？"]
["publisher", "owner"]	["谁是entity的出版商的所有者？"]
["party", "wing"]	["女性的entity所属的党派翼是什么？"]
["代表作", "executiveProducer"]	["谁是entity的代表作品的执行制片人？"]
["deathplace", "region"]	["entity逝世的地方属于哪个列表？","哪个列表包含entity逝世的地方？"]
["areaServed", "demonym"]	["我们称之为entity的服务区域的人是谁？"]
["身份", "callingCode"]	["什么是entity所在的朝代中的调用代码？"]
["placeOfDeath", "subdivisionType"]	["entity的逝世地址的行政级别是什么？"]
["usedBy", "upperHouse"]	["什么是entity的使用者的上议院？"]
["deathPlace", "legislature"]	["什么是entity逝世的地方的立法机关？"]
["branch", "type"]	["哪种类型是entity的？"]
["issue", "title"]	["什么是entity的后裔的名字？"]
["predecessor", "eventEnd"]	["什么时候entity的前代产品解散了？"]
["title", "currentMembers"]	["谁是entity的标题的现任乐队领队？"]
["currentclub", "rcb"]	["谁是entity最强的玩家？"]
["platforms", "sourceModel"]	["哪一个是entity的发布平台的源模型？"]
["出生地", "languages"]	["谁使用entity的出生地的区域语言？"]
["director", "before"]	["谁是entity的导演的上一任？"]
["spouse", "succession"]	["谁是entity的配偶的继承人？"]
["出生地", "leaderTitle"]	["entity的出生地在哪里作为leaderTitle？"]
["出生地", "p"]	["如何用汉语拼音拼写entity的出生地？","entity的出生地的中文拼音是什么？"]
["出生地", "lowerHouse"]	["什么是entity的出生地的下议院？"]
["居住地", "establishedEvent"]	["什么时候entity的居住地创建既定事件？"]
["出生地", "legislature"]	["什么是entity的出生地的立法机关？"]
["出生地", "callingCode"]	["什么是entity的出生地中的调用代码？"]
["after", "house"]	["entity的有什么样的立法机构？"]
["allegiance", "leaderTitle"]	["entity在哪里作为leaderTitle？"]
["parent", "keyPeople"]	["谁是entity的主公司的首席执行官？"]
["leader", "occupation"]	["entity的领导人从事的职业是什么？","entity的领导人的工作是什么？"]
["afterElection", "honorificPrefix"]	["entity的胜选者的荣誉称号是什么？"]
["combatant", "type"]	["哪种类型是entity？"]
["basinCountries", "leaderName"]	["谁是entity的沿线国家的领导者？"]
["afterElection", "as"]	["entity的胜选者相当于什么？"]
["使用平臺", "logo"]	["entity的发布平台的标识是什么？"]
["channel", "type"]	["哪种类型是entity的电视台？"]
["birthPlace", "title"]	["什么是entity的出生地的名字？"]
["stadium", "stadium"]	["举办entity的体育场在哪里训练？"]
["commander", "before"]	["谁是entity的将领的上一任？"]
["occupation", "callingCode"]	["什么是entity的职业中的调用代码？"]
["music", "children"]	["entity的配乐作者孩子的名字是什么？"]
["location", "seat"]	["发现entity的位置的地方是什么？"]
["place", "governmentType"]	["entity的地址政府类型是什么？"]
["經紀公司", "keyPeople"]	["谁是entity的经济公司的首席执行官？"]
["operator", "leaderName"]	["谁是entity的相关运营A方是的领导者？"]
["notableCommanders", "predecessor"]	["谁是entity的著名指挥官的前身？"]
["music", "currentMembers"]	["谁是entity的配乐作者的现任乐队领队？"]
["commander", "relatives"]	["谁是entity的将领的亲戚？"]
["commander", "affiliation"]	["谁隶属于entity的将领？"]
["cityofbirth", "north"]	["哪个城市位于entity的出生地的北部？"]
["頻道", "cableServ"]	["哪个公司放映entity的频道属于？"]
["出生地", "ethnicGroups"]	["entity的出生地属于哪个民族？"]
["父親", "issue"]	["谁是entity的父亲的父母？"]
["地址", "leaderTitle"]	["entity的地址在哪里作为leaderTitle？"]
["basinCountries", "ethnicGroups"]	["entity的沿线国家属于哪个民族？"]
["after", "as"]	["entity的相当于什么？"]
["educate", "type"]	["哪种类型是entity？"]
["subdivisionName", "religion"]	["entity的宗教是什么？"]
["youthclubs", "lcb"]	["谁是entity所属青年俱乐部的着名前球员？"]
["cup", "logo"]	["entity获得的奖项的标识是什么？"]
["唱片公司", "subsid"]	["entity与entity哪家唱片公司子公司的名称是什么？"]
["designer", "keyPeople"]	["谁是entity的设计者的首席执行官？"]
["使用平臺", "predecessor"]	["谁是entity的发布平台的前身？"]
["before", "caption"]	["entity的前任的标识是什么？"]
["location", "location"]	["entity的位置在哪里？"]
["place", "architect"]	["谁是entity的地址的建筑师？","谁建立了entity的地址？"]
["namedAfter", "subdivisionType"]	["entity的名字的行政级别是什么？"]
["notableCommanders", "placeOfBirth"]	["entity的著名指挥官出生在哪里？"]
["areaServed", "regionalLanguages"]	["哪种语言是entity的服务区域中的区域语言？"]
["areaServed", "establishedEvent"]	["什么时候entity的服务区域创建既定事件？"]
["leaderParty", "wing"]	["女性的entity的翼是什么？"]
["stadium", "timezone"]	["举办entity的体育场属于哪个时区？"]
